Role,Age,Birth Country,Zip,Lat,Long,Departure Time,"Distance from Nueva (37.56, -122.38)"
Nueva Teacher,53,United States,94112,37.72,-122.44,7:00:00 AM,17.2514811
Parent or Guardian of Nueva student,42,India,94066,37.63,-122.43,7:55:00 AM,8.354550916
Parent or Guardian of Nueva student,48,United States,94025,37.45,-122.18,,22.52073642
Parent or Guardian of Nueva student,50,Canada,94010,37.57,-122.38,7:50:00 AM,1.321225189
Parent or Guardian of Nueva student,47,United States,94010,37.57,-122.38,8:00:00 AM,1.321225189
Parent or Guardian of Nueva student,56,India,94010,37.57,-122.38,8:00:00 AM,1.321225189
Parent or Guardian of Nueva student,42,United States,94010,37.57,-122.38,7:50:00 AM,1.321225189
Nueva Teacher,,China,,#N/A,#N/A,7:00:00 AM,#N/A
Nueva Teacher,52,United States,94403,37.54,-122.31,6:45:00 AM,7.803738591
Parent or Guardian of Nueva student,59,China,94027,37.45,-122.20,7:45:00 AM,20.63180072
Nueva Teacher,40,United States,94610,37.81,-122.24,7:00:00 AM,28.85311839
Parent or Guardian of Nueva student,46,Taiwan,94404,37.56,-122.27,8:05:00 AM,11.1065026
Grandparent,70,India,94704,37.87,-122.26,,32.86973684
Nueva Teacher,,United States,94044,37.61,-122.48,7:00:00 AM,10.98398543
Parent or Guardian of Nueva student,48,China,,#N/A,#N/A,,#N/A
Parent or Guardian of Nueva student,47,China,94025,37.45,-122.18,7:30:00 AM,22.52073642
Parent or Guardian of Nueva student,51,France,,#N/A,#N/A,7:55:00 AM,#N/A
Parent or Guardian of Nueva student,54,Bulgaria,94002,37.51,-122.30,7:40:00 AM,9.331878482
Parent or Guardian of Nueva student,45,China,94010,37.57,-122.38,8:00:00 AM,1.321225189
Parent or Guardian of Nueva student,44,China,94010,37.57,-122.38,8:00:00 AM,1.321225189
Parent or Guardian of Nueva student,,Singapore,94010,37.57,-122.38,7:40:00 AM,1.321225189
Parent or Guardian of Nueva student,44,United States,94010,37.57,-122.38,8:00:00 AM,1.321225189
Parent or Guardian of Nueva student,50,China,,#N/A,#N/A,,#N/A
Nueva Teacher,59,United Kingdom,94110,37.75,-122.42,6:00:00 AM,19.29509329
