Year,AdriaticSea,AndamanSea,ArabianSea,AtlanticOcean,BalticSea,BayBengal,BeringSea,CaribbeanSea,GulfMexico,IndianOcean,Indonesian,Mediterranean,Nino,NorthAtlantic,NorthPacific,NorthSea,PacificOcean,PersianGulf,SeaJapan,SeaOkhotsk,SouthChina,SouthernOcean,Tropics,World,YellowSea,Mean
2002,137.576338,106.125,108.1628571,121.4729577,110.2014286,109.8314286,97.24785714,139.6092958,138.1314286,121.8378571,94.52042857,131.2642857,130.7192857,122.6387324,132.2021429,127.4053521,127.9014286,106.7685915,133.4171429,117.2442857,123.8878571,123.5807143,123.4507143,124.3085714,133.4977465,121.6122982
2003,118.4167123,124.6483333,123.9120548,131.8550685,110.5080822,118.2116438,121.8353425,161.7273973,138.3010959,124.7606849,100.7817808,120.8008219,127.9964384,127.3242466,124.6483562,156.4736986,126.5838356,104.5138028,137.1547945,117.8861644,136.0409589,125.4812329,128.9073973,127.6758904,135.2728767,126.8351175
2004,129.3868056,121.1032394,118.2138889,130.7491667,157.9819444,121.5191667,112.72125,123.6915278,132.7022222,124.8779167,102.2072222,127.3369444,139.5429167,126.8322222,128.6948611,134.0819444,131.1802778,122.1015278,150.9627778,125.2922222,118.3518056,130.3948611,128.6876389,129.3155556,137.8913889,128.1877391
2005,104.7270769,125.6149231,132.036,134.6643077,160.4303077,135.1167692,114.4843077,116.708,141.7064615,127.2395385,111.5467692,113.9255385,131.0375385,125.3272308,120.5543077,127.8083077,133.9292308,104.4487692,110.0686154,122.4967692,95.70015385,134.2081538,132.6938462,131.5735385,110.5092308,123.6242564
2006,117.8722222,99.48944444,127.0222222,135.7172222,115.8,117.0788889,120.1483333,120.6005556,119.1188889,135.7883333,135.2744444,126.1188889,138.2311111,131.1377778,126.5594444,134.6944444,135.6761111,108.5133333,120.0544444,115.6366667,133.14,135.4733333,136.4105556,134.9711111,144.0344444,126.232963
2007,110.0111111,114.8483784,135.8756757,135.1308108,238.2094595,113.1467568,113.5156757,134.8605405,138.3232432,139.7489189,140.2354054,116.0881081,120.8010811,128.3478378,125.8791892,156.9135135,134.1886486,144.6678378,141.2086486,119.7105405,126.8251351,136.4440541,136.3583784,135.1518919,130.9066667,134.6769007
2008,117.9288889,182.5896226,135.2532075,139.1218519,188.9292453,155.1062264,126.0255556,143.5614815,159.0332075,146.8466667,193.7931481,144.1018868,135.1511111,148.0788889,143.3785185,135.8132075,136.3788889,150.7628302,139.4875472,129.0577358,175.5813208,136.2077778,142.3948148,140.4667308,150.9907407,148.1489321
2009,141.3165278,152.8906849,153.1620548,142.2909459,112.0356164,143.8968056,129.2986301,115.4283562,161.8050685,145.8360811,182.319589,135.6894521,148.822973,139.8816438,147.770411,124.4815068,140.4290411,142.1544444,140.9793056,124.5290411,172.2106849,140.072973,145.8604054,142.8853425,136.8668493,142.5012122
2010,179.9660811,184.3552703,151.0531081,143.6044595,70.65608108,169.3790541,122.6262162,142.3146575,124.7087838,156.1914865,209.0422973,173.815,138.3932432,119.2063514,140.7382432,117.4184932,136.24,180.5091892,152.1598649,134.827027,182.3063514,145.3959459,146.9901351,144.2512162,136.0664865,148.2484928
2011,143.2656164,158.2167123,153.570274,143.27,187.6109589,165.9405479,128.6589041,132.7039189,134.6009589,153.1032877,209.5050685,130.9976712,143.6490411,122.7734247,143.4073973,152.8885135,135.4632877,162.359589,133.3708219,123.7409589,173.8490411,145.2234247,144.2642466,142.5168493,123.4873973,147.7467109
